study,within_r_pain
ie,0.533122019456485
ie,0.316118752386784
ie,0.457561211528873
ie,0.161917856250927
ie,0.166752462261187
ie,0.520741942679278
ie,0.255161241497173
ie,0.293940405285162
ie,0.224462019761666
ie,0.453546835435309
ie,0.0712297007106895
ie,0.312395955301477
ie,0.387954513746443
ie,0.662905649196551
ie,0.402215928442435
ie,-0.220549365434485
ie,0.252976367278803
ie,0.285347687850023
ie2,0.072969438161358
ie2,0.344868186205406
ie2,0.152619457087589
ie2,0.0928386827568486
ie2,-0.132740392826032
ie2,0.116463199262494
ie2,0.210308946035707
ie2,0.209499669319925
ie2,-0.00216597217577753
ie2,0.131488337521211
ie2,0.171181243181998
ie2,0.0041823039085967
ie2,0.178559678535868
ie2,0.236026612574423
ie2,0.0621623972731967
ie2,0.233793239372062
ie2,0.265010512942357
ie2,0.321688192075486
ie2,0.0459354973062058
ilcp,0.173952006638436
ilcp,0.144646979872038
ilcp,0.493884846634813
ilcp,0.52273759740599
ilcp,0.463901334517334
ilcp,0.449831176303038
ilcp,0.537960108216791
ilcp,0.296500911421206
ilcp,0.429461663775126
ilcp,0.288675308445755
ilcp,0.269249285808797
ilcp,0.131640002102798
ilcp,0.360855260400833
ilcp,0.0859968412583213
ilcp,0.559825960177603
ilcp,0.517146982069842
ilcp,0.324627412644293
ilcp,0.214894764126897
ilcp,0.611884062298226
ilcp,0.215586708052342
ilcp,0.360963066953118
ilcp,0.254061403460638
ilcp,0.491876638796018
ilcp,0.565569863978466
ilcp,0.297146660209515
ilcp,0.379452020952494
ilcp,-0.0362224204114915
ilcp,0.347277973722427
ilcp,0.258535171336738
scebl,0.436136968992241
scebl,-0.0532734384185166
scebl,0.5481961776467
scebl,0.130289096776072
scebl,-0.0419720626299703
scebl,0.149499001710721
scebl,-0.00357965527762475
scebl,0.311686967094832
scebl,0.45786200423447
scebl,0.167981674596115
scebl,-0.0268820635193926
scebl,0.146121986772026
scebl,0.156173884014083
scebl,0.225422617811911
scebl,-0.0521984662665378
scebl,-0.110009026984735
scebl,-0.0325188099984119
scebl,0.121592502911015
scebl,0.338971654633186
scebl,0.26034040672395
scebl,0.191680292223748
scebl,0.385799385062006
scebl,0.233027520210358
scebl,0.15530804910652
scebl,0.23100949882191
scebl,0.0019447531062555
